article_id,authors,publication_year,DOI,title,journal,section_in_doc,duplicate
4886,"Schettino, Fabbricatore & Caso",2022,10.1037/ppm0000417,"“To Be Yourself or Your Selfies, That Is the Question”: The Moderation Role of Gender, Nationality, and Privacy Settings in the Relationship Between Selfie-Engagement and Body Shame",Psychology of Popular Media,1.4,F
791739,Brailovskaia & Margraf,2020,10.1016/j.psychres.2020.113110,Decrease of well-being and increase of online media use: Cohort trends in German university freshmen between 2016 and 2019,Psychiatry Research,1.1,F
456420,Golin,2022,10.1002/hec.4570,The Effect of Broadband Internet on the Gender Gap in Mental Health: Evidence from Germany,Health Economics,3.5,F
879578,Kim & Kim,2023,10.3390/socsci12020087,"Social Media Affordances of Ephemerality and Permanence: Social Comparison, Self-Esteem, and Body Image Concerns",Social Sciences,1.1,F
958424,"Satici, Gocet Tekin, Deniz, & Satici",2022,10.1007/s11482-022-10110-7,"Doomscrolling Scale: Its Association with Personality Traits, Psychological Distress, Social Media Use, and Wellbeing",Applied Research in Quality of Life,1.1,F
554325,Wall Street Journal,2021,https://www.wsj.com/articles/the-facebook-files-11631713039?mod=bigtop-breadcrumb,Facebook’s Internal Research: The Facebook Files,Wall Street Journal,4.1,F
47261,"Vannucci, Flannery, & Ohannessian",2017,10.1016/j.jad.2016.08.040,Social media use and anxiety in emerging adults,Journal of Affective Disorders,1.1,F
601516,"Coyne, Rogers, Zurcher, Stockdale, & Booth",2019,10.1016/j.chb.2019.106160,Does time spent using social media impact mental health?: An eight year longitudinal study,Computers in Human Behavior,2.2,F
887261,Kreski et al.,2020,10.1016/j.jadohealth.2020.07.006,Social media use and depressive symptoms among United States adolescents,Journal of Adolescent Health,1.2,F
265289,Johnson & Persico,2024,10.3386/w32517,"Broadband internet access, economic growth, and wellbeing",National Bureau of Economic Research,3.6,F
694052,"Boer, Stevens, Finkenauer, & van den Eijnden",2022,10.1016/j.chb.2021.107084,The Complex Association Between Social Media Use Intensity and Adolescent Wellbeing,Computers in Human Behavior,2.2,F
97854,"Babic, Smith, Morgan, et al.",2017,10.1016/j.mhpa.2017.04.001,Longitudinal associations between changes in screen-time and mental health outcomes in adolescents,Mental Health and Physical Activity,2.1,F
